SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET HO (peildatum 1 oktober 2012);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;Enschede;havo;geen diploma;cul/maat;21QA;hbo;taal en cultuur;363;Amsterdam;1
00AH;0;153;Enschede;havo;diploma;nat/tech;08YJ;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/tech;22OJ;hbo;techniek;599;Rotterdam;1
00AH;0;153;Enschede;havo;diploma;nat/tech;23AH;hbo;techniek;153;Enschede;2
00AH;0;153;Enschede;havo;diploma;nat/tech;23AH;hbo;techniek;1859;Berkelland;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;08YJ;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;08YJ;hbo;onderwijs;168;Losser;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;techniek;153;Enschede;6
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;techniek;168;Losser;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;153;Enschede;5
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;economie;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;27NF;hbo;taal en cultuur;202;Arnhem;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;30HD;hbo;landbouw en natuurlijke omgeving;274;Renkum;1
00AH;0;153;Enschede;havo;diploma;ec/maat;00MF;hbo;economie;344;Utrecht;1
00AH;0;153;Enschede;havo;diploma;ec/maat;01VU;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;ec/maat;01VU;hbo;economie;153;Enschede;2
00AH;0;153;Enschede;havo;diploma;ec/maat;01VU;hbo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;ec/maat;22EX;hbo;economie;80;Leeuwarden;1
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;techniek;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;techniek;168;Losser;1
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;153;Enschede;9
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gedrag en maatschappij;168;Losser;1
00AH;0;153;Enschede;havo;diploma;ec/maat;25BE;hbo;economie;14;Groningen;2
00AH;0;153;Enschede;havo;diploma;ec/maat;27NF;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;ec/maat;28DN;hbo;techniek;392;Haarlem;1
00AH;0;153;Enschede;havo;diploma;ec/maat;28DN;hbo;economie;153;Enschede;2
00AH;0;153;Enschede;havo;diploma;ec/maat;28DN;hbo;economie;363;Amsterdam;1
00AH;0;153;Enschede;havo;diploma;ec/maat;28DN;hbo;economie;402;Hilversum;1
00AH;0;153;Enschede;havo;diploma;ec/maat;30GB;hbo;economie;855;Tilburg;1
00AH;0;153;Enschede;havo;diploma;cul/maat;01VU;hbo;onderwijs;164;Hengelo;1
00AH;0;153;Enschede;havo;diploma;cul/maat;08YJ;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;techniek;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;economie;153;Enschede;4
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;economie;2020;Duitsland;1
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;gedrag en maatschappij;168;Losser;1
00AH;0;153;Enschede;havo;diploma;cul/maat;27NF;hbo;taal en cultuur;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/tech & nat/gezond;23AH;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/tech & nat/gezond;23AH;hbo;techniek;153;Enschede;5
00AH;0;153;Enschede;havo;diploma;nat/tech & nat/gezond;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/tech & nat/gezond;27UM;hbo;techniek;503;Delft;1
00AH;0;153;Enschede;havo;diploma;ec/maat & cul/maat;23AH;hbo;economie;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;ec/maat & cul/maat;23AH;hbo;economie;2020;Duitsland;1
00AH;0;153;Enschede;havo;diploma;ec/maat & cul/maat;23AH;hbo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;vwo;geen diploma;nat/tech & nat/gezond;23AH;hbo;techniek;153;Enschede;1
00AH;0;153;Enschede;vwo;geen diploma;ec/maat & cul/maat;23AH;hbo;economie;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;techniek;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PD;wo;natuur;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;2
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PC;wo;gedrag en maatschappij;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;sectoroverstijgend;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PL;wo;gezondheidszorg;363;Amsterdam;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;gezondheidszorg;268;Nijmegen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;taal en cultuur;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;25BE;hbo;gezondheidszorg;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PC;wo;economie;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;economie;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;168;Losser;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PI;wo;sectoroverstijgend;758;Breda;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;23AH;hbo;techniek;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;23AH;hbo;economie;153;Enschede;2
00AH;0;153;Enschede;vwo;diploma;cul/maat;01VU;hbo;economie;193;Zwolle;1
00AH;0;153;Enschede;vwo;diploma;cul/maat;08YJ;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;cul/maat;21PB;wo;taal en cultuur;546;Leiden;1
00AH;0;153;Enschede;vwo;diploma;cul/maat;21PH;wo;techniek;1859;Berkelland;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PB;wo;gezondheidszorg;546;Leiden;2
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;economie;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;sectoroverstijgend;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;natuur;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;natuur;355;Zeist;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;natuur;356;Nieuwegein;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;503;Delft;2
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;1842;Midden-Delfland;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PH;wo;techniek;153;Enschede;3
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PM;wo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21QA;hbo;taal en cultuur;363;Amsterdam;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;27PZ;hbo;gezondheidszorg;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PC;wo;gedrag en maatschappij;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat & cul/maat;27NF;hbo;taal en cultuur;168;Losser;1
00AH;0;153;Enschede;vwo;diploma;ec/maat & cul/maat;27PZ;hbo;economie;1916;Leidschendam-Voorburg;1
00AH;7;153;Enschede;havo;diploma;nat/tech;23AH;hbo;techniek;153;Enschede;4
00AH;7;153;Enschede;havo;diploma;nat/tech;23AH;hbo;techniek;158;Haaksbergen;1
00AH;7;153;Enschede;havo;diploma;nat/tech;25JX;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;01VU;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;techniek;153;Enschede;2
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;techniek;158;Haaksbergen;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;173;Oldenzaal;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;262;Lochem;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;28DN;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;01VU;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;01VU;hbo;economie;150;Deventer;1
00AH;7;153;Enschede;havo;diploma;ec/maat;01VU;hbo;economie;177;Raalte;1
00AH;7;153;Enschede;havo;diploma;ec/maat;01VU;hbo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;08YJ;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;techniek;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;150;Deventer;3
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;153;Enschede;11
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;163;Hellendoorn;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;168;Losser;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gedrag en maatschappij;200;Apeldoorn;1
00AH;7;153;Enschede;havo;diploma;ec/maat;25BE;hbo;onderwijs;14;Groningen;1
00AH;7;153;Enschede;havo;diploma;ec/maat;25KB;hbo;economie;202;Arnhem;1
00AH;7;153;Enschede;havo;diploma;ec/maat;27PZ;hbo;gezondheidszorg;394;Haarlemmermeer;1
00AH;7;153;Enschede;havo;diploma;cul/maat;08YJ;hbo;onderwijs;153;Enschede;2
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;economie;158;Haaksbergen;1
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;gedrag en maatschappij;153;Enschede;4
00AH;7;153;Enschede;havo;diploma;cul/maat;25JX;hbo;economie;2010;Belgie;1
00AH;7;153;Enschede;havo;diploma;cul/maat;25KB;hbo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;cul/maat;30GB;hbo;onderwijs;984;Venray;1
00AH;7;153;Enschede;havo;diploma;nat/tech & nat/gezond;23AH;hbo;onderwijs;294;Winterswijk;1
00AH;7;153;Enschede;vwo;geen diploma;nat/tech;23AH;hbo;techniek;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PD;wo;economie;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PE;wo;economie;599;Rotterdam;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PM;wo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PN;wo;economie;855;Tilburg;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PC;wo;economie;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PD;wo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;economie;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PM;wo;gedrag en maatschappij;268;Nijmegen;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PB;wo;gedrag en maatschappij;546;Leiden;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PB;wo;recht;546;Leiden;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;recht;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PE;wo;gezondheidszorg;599;Rotterdam;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PH;wo;techniek;153;Enschede;3
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PH;wo;gezondheidszorg;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PJ;wo;gezondheidszorg;935;Maastricht;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PK;wo;gezondheidszorg;363;Amsterdam;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PM;wo;economie;268;Nijmegen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;23AH;hbo;gezondheidszorg;164;Hengelo;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PC;wo;taal en cultuur;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PH;wo;economie;153;Enschede;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;01MY;hbo;landbouw en natuurlijke omgeving;303;Dronten;2
00AQ;0;1714;Sluis;havo;diploma;nat/tech;07GR;hbo;techniek;758;Breda;2
00AQ;0;1714;Sluis;havo;diploma;nat/tech;07GR;hbo;techniek;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;07GR;hbo;techniek;1714;Sluis;2
00AQ;0;1714;Sluis;havo;diploma;nat/tech;07GR;hbo;economie;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;21MI;hbo;techniek;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;21MI;hbo;gezondheidszorg;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;21UI;hbo;techniek;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;30GB;hbo;taal en cultuur;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;07GR;hbo;techniek;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;21MI;hbo;techniek;1714;Sluis;2
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;21MI;hbo;gezondheidszorg;718;Vlissingen;3
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;21MI;hbo;gezondheidszorg;1714;Sluis;2
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;21MI;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;25JX;hbo;gezondheidszorg;917;Heerlen;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;25KB;hbo;gezondheidszorg;268;Nijmegen;2
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;30GB;hbo;onderwijs;772;Eindhoven;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;30GB;hbo;techniek;772;Eindhoven;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;economie;758;Breda;2
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;economie;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;gedrag en maatschappij;505;Dordrecht;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;gedrag en maatschappij;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;onderwijs;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;economie;1714;Sluis;5
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;gedrag en maatschappij;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21UI;hbo;techniek;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21UI;hbo;economie;758;Breda;5
00AQ;0;1714;Sluis;havo;diploma;ec/maat;22OJ;hbo;economie;599;Rotterdam;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;25DW;hbo;economie;344;Utrecht;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;25JX;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;30GB;hbo;onderwijs;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;30GB;hbo;economie;855;Tilburg;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;economie;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;gedrag en maatschappij;758;Breda;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;07GR;hbo;taal en cultuur;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;onderwijs;1714;Sluis;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;techniek;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;economie;1714;Sluis;3
