SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET MBO (peildatum 1 oktober 2011);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;Enschede;havo;geen diploma;nat/tech;27YU;BOL;zorg en welzijn;Onderwijsassistent;93500;02QG;Calibris;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;nat/gezond;05EA;BOL;techniek ;Koopvaardij officier alle schepen;91930;25HV;VTL;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;techniek ;Signmaker (Medewerker sign);94500;02FW;Savantis;164;Hengelo;1
00AH;0;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie ;Ondernemer detailhandel;90290;00SE;Kenniscentrum Handel;153;Enschede;2
00AH;0;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;economie ;Frontofficemedewerker;94070;02PY;Kenwerk;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;techniek ;Mediavormgever (Grafische vormgeving Savantis);90403;02FW;Savantis;164;Hengelo;1
00AH;0;153;Enschede;havo;diploma;cul/maat;27YU;BOL;techniek ;Artiest (Muziek);90038;02PT;Kenniscentrum GOC;153;Enschede;1
00AH;0;153;Enschede;vwo;geen diploma;nat/gezond;27YU;BOL;economie ;Verkoopspecialist (Verkoopspecialist detailhandel);90383;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nvt/geen profiel;27YU;BOL;techniek ;Medewerker design (Medewerker styling);94471;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nvt/geen profiel;27YU;BOL;techniek ;Signmaker (Medewerker sign);94500;02FW;Savantis;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/tech;27YU;BOL;techniek ;Mediavormgever (Animatie/audiovisuele vormgeving Savantis);90401;02FW;Savantis;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/tech;27YU;BOL;techniek ;Mediavormgever (Grafische vormgeving Savantis);90403;02FW;Savantis;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/tech;27YU;BOL;zorg en welzijn;Pedagogisch Werk (Pedagogisch Werker kinderopvang);92620;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;01AA;BOL;economie ;Leisure & hospitality (Leisure & hospitality host);94120;02PY;Kenwerk;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;techniek ;Middenkaderfunctionaris bouw en infra;94050;02QH;Fundeon;1735;Hof van Twente;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;zorg en welzijn;Onderwijsassistent;93500;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie ;Verkoopspecialist (Verkoopspecialist detailhandel);90383;00SE;Kenniscentrum Handel;153;Enschede;2
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie ;Manager handel (Filiaalmanager);93492;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;zorg en welzijn;Maatschappelijke Zorg (Medewerker maatschappelijke zorg);92650;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;zorg en welzijn;Onderwijsassistent;93500;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;combinatie;Secretariële beroepen (Secretaresse);95380;00SP;ECABO;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;economie ;Verkoopspecialist (Eerste verkoper);90384;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;zorg en welzijn;Apothekersassistent;91300;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;262;Lochem;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;1509;Oude IJsselstreek;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/tech;25LZ;BOL;techniek ;AV-productie (Allround Medewerker AV-Productie KC GOC);90061;02PT;Kenniscentrum GOC;855;Tilburg;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/tech;25PV;BOL;techniek ;Koopvaardij officier alle schepen (Stuurman alle schepen);91933;25HV;VTL;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/gezond;05EL;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/gezond;25PV;BBL;techniek ;Schipper binnenvaart;91900;25HV;VTL;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;05EL;BOL;zorg en welzijn;Onderwijsassistent;93500;02QG;Calibris;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;25PV;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;25PX;BOL;techniek ;Koopvaardij officier alle schepen;91930;25HV;VTL;392;Haarlem;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;25PZ;BOL;techniek ;Artiest (Muziek);90038;02PT;Kenniscentrum GOC;392;Haarlem;1
00AQ;0;1714;Sluis;havo;geen diploma;cul/maat;25PV;BOL;combinatie;Secretariële beroepen (Directiesecretaresse/Managementassistent);95391;00SP;ECABO;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;23JA;BOL;techniek ;Podium- en evenemententechniek;93340;02PT;Kenniscentrum GOC;599;Rotterdam;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;25PV;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;1714;Sluis;1
00BD;0;627;Waddinxveen;havo;geen diploma;nat/tech;25LP;BOL;techniek ;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris bouw);94051;02QH;Fundeon;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;nat/gezond;25LN;BOL;economie ;ICT-beheer (Netwerkbeheerder);93192;00SP;ECABO;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;nat/gezond;25MA;BOL;techniek ;Analist (Microbiologisch analist);93715;02QD;Kenniscentrum PMLF;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;25LN;BOL;economie ;Ondernemer detailhandel;90290;00SE;Kenniscentrum Handel;637;Zoetermeer;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;25LP;BOL;economie ;Manager handel (Vestigingsmanager groothandel);93494;00SE;Kenniscentrum Handel;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;25PX;BOL;economie ;ICT-beheer;93190;00SP;ECABO;394;Haarlemmermeer;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat & cul/maat;27GZ;BOL;zorg en welzijn;Schoonheidsspecialist (Schoonheidsspecialist);91190;16QY;KOC Nederland;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/gezond;27GZ;BBL;zorg en welzijn;MBO-Verpleegkundige;93510;02QG;Calibris;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat & cul/maat;25LP;BOL;combinatie;Schoonheidsspecialist (Allround schoonheidsspecialist);95510;16QY;KOC Nederland;499;Boskoop;1
00BD;2;499;Boskoop;havo;geen diploma;nvt/geen profiel;01OE;BBL;landbouw ;Medewerker dierverzorging;97330;25DC;Aequor;1672;Rijnwoude;1
00CB;0;268;Nijmegen;havo;geen diploma;nat/tech;25PN;BOL;techniek ;Mediavormgever;90400;28DV;Combinatie kenniscentra;214;Buren;1
00CB;0;268;Nijmegen;havo;geen diploma;nat/tech;28DE;BOL;techniek ;Creatief vakman (Ontwerpend Meubelmaker);93686;04IN;SH&M;856;Uden;1
00CB;0;268;Nijmegen;havo;geen diploma;ec/maat;25LF;BOL;zorg en welzijn;Sport en bewegen;91400;02QG;Calibris;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;geen diploma;ec/maat;25LF;BBL;economie ;Verkoopspecialist (Verkoopspecialist detailhandel);90383;00SE;Kenniscentrum Handel;202;Arnhem;1
00CB;0;268;Nijmegen;havo;diploma;cul/maat;25LF;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;1734;Overbetuwe;1
00CB;0;268;Nijmegen;vwo;geen diploma;nat/tech;23KG;BOL;techniek ;Gaming (Gamedesigner);93220;02PT;Kenniscentrum GOC;1734;Overbetuwe;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;25GV;BOL;landbouw ;Biologisch-dynamisch bedrijf (Manager biologisch-dynamisch bedrijf);97640;25DC;Aequor;303;Dronten;1
00CB;1;355;Zeist;havo;geen diploma;nat/gezond;25LH;BOL;zorg en welzijn;Sport en bewegen;91400;02QG;Calibris;355;Zeist;1
00CB;1;355;Zeist;havo;geen diploma;ec/maat;08PG;BOL;techniek ;Scheeps- en jachtbouwkundige (Scheeps- en jachtbouwkundige);93080;25HV;VTL;91;Sneek;1
00CB;1;355;Zeist;havo;geen diploma;cul/maat;13US;BOL;landbouw ;Dierenassistent paraveterinair;97590;25DC;Aequor;355;Zeist;1
00CB;1;355;Zeist;havo;geen diploma;cul/maat;17WH;BBL;economie ;Fastservice (Medewerker fastservice);94190;02PY;Kenwerk;344;Utrecht;1
00CB;1;355;Zeist;vwo;geen diploma;cul/maat;04EM;BBL;combinatie;Arbeidsmarktgekwalificeerd Assistent;90440;28DV;Combinatie kenniscentra;342;Soest;1
00CB;2;772;Eindhoven;havo;geen diploma;cul/maat;25MB;BBL;economie ;Verkoopspecialist;90380;00SE;Kenniscentrum Handel;772;Eindhoven;1
00DI;2;22;Leek;havo;geen diploma;nat/tech;25LU;BOL;techniek ;Autotechniek (Technisch specialist personenautos);93430;02FZ;Innovam Groep;15;Grootegast;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LU;BOL;economie ;Facilitaire dienstverlener (Facilitaire leidinggevende);94180;02PY;Kenwerk;22;Leek;1
