SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET MBO (peildatum 1 oktober 2012);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;economie ;Leisure & hospitality (Leisure & hospitality host);94120;02PY;Kenwerk;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;cul/maat;27DV;BOL;techniek ;Luchtvaartdienstverlener;91850;25HV;VTL;1859;Berkelland;1
00AH;0;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;economie ;Ondernemer horeca/bakkerij (Manager/ondernemer cafe-bar);90301;02PY;Kenwerk;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nvt/geen profiel;27YU;BBL;economie ;Verkoopspecialist (Eerste verkoper);90384;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/tech;27YU;BOL;zorg en welzijn;Maatschappelijke Zorg (Medewerker maatschappelijke zorg);92650;02QG;Calibris;164;Hengelo;1
00AH;7;153;Enschede;havo;geen diploma;nat/tech;27YU;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;1774;Dinkelland;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;zorg en welzijn;Apothekersassistent;91300;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie ;Commercieel medewerker (Commercieel medewerker binnendienst);90112;00SE;Kenniscentrum Handel;153;Enschede;2
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie ;Ondernemer detailhandel;90290;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie ;ICT-medewerker (Medewerker beheer ICT);95070;00SP;ECABO;153;Enschede;2
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;techniek ;Mediavormgever (Animatie/audiovisuele vormgeving);90401;02FW;Savantis;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;zorg en welzijn;Pedagogisch Werk (Pedagogisch medewerker 3 kinderopvang);92620;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;combinatie;Allround schoonheidsspecialist;95745;16QY;KOC Nederland;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;economie ;Commercieel medewerker (Commercieel medewerker binnendienst);90112;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/tech;25PJ;BOL;combinatie;Technicus mechanica;95764;02PR;Kenteq;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;27YU;BOL;techniek ;Middenkader engineering (Technicus);94421;02PR;Kenteq;153;Enschede;1
00AQ;0;1714;Sluis;havo;geen diploma;nvt/geen profiel;11UL;BOL;landbouw ;Teelt 4 (Manager teelt);97681;25DC;Aequor;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/tech;25PV;BOL;combinatie;ICT- en mediabeheer;22263;28DV;Combinatie kenniscentra;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/gezond;25PV;BOL;techniek ;Operator C;90240;02QD;Kenniscentrum PMLF;1714;Sluis;2
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;23KG;BOL;techniek ;Gaming artist;93220;02PT;Kenniscentrum GOC;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;25LF;BOL;economie ;Ondernemer detailhandel;90290;00SE;Kenniscentrum Handel;202;Arnhem;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;25PV;BOL;techniek ;Mediavormgever (Interactieve vormgeving);90404;02FW;Savantis;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;cul/maat;11UL;BOL;combinatie;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;cul/maat;25PV;BOL;zorg en welzijn;Kapper (Kapper);91182;16QY;KOC Nederland;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;cul/maat;25PV;BOL;combinatie;Secretariele beroepen (Directiesecretaresse/managementassistent);95391;00SP;ECABO;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;cul/maat;26CC;BOL;landbouw ;Manager natuur en recreatie;97090;25DC;Aequor;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;cul/maat;30BC;BOL;combinatie;Vormgeving ruimtelijke presentatie en communicatie;22093;02FW;Savantis;757;Boxtel;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;25PV;BBL;techniek ;Chauffeur goederenvervoer;91830;25HV;VTL;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;23KG;BOL;techniek ;Mediavormgever (Animatie/audiovisuele vormgeving);90411;02PT;Kenniscentrum GOC;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;25PV;BOL;combinatie;Applicatie- en mediaontwikkeling;22087;28DV;Combinatie kenniscentra;1714;Sluis;1
00BD;0;627;Waddinxveen;havo;geen diploma;nat/gezond;25LN;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;499;Boskoop;1
