SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET MBO (peildatum 1 oktober 2014);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE CODE;KWALIFICATIE NAAM;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;ENSCHEDE;havo;geen diploma;nat/tech;27YU;BOL;techniek;90032;Artiest (Drama);02PT;Kenniscentrum GOC;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;economie;22166;Medewerker marketing en communicatie;00SP;ECABO;153;Enschede;3
00AH;0;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;economie;93492;Manager handel (Filiaalmanager);00SE;Kenniscentrum Handel;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;economie;94891;Juridisch medewerker zakelijke dienstverlening;00SP;ECABO;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;techniek;22086;Mediavormgever;28DV;Combinatie kenniscentra;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;27YU;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;27YU;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;geen diploma;nat/tech;27YU;BOL;techniek;22086;Mediavormgever;28DV;Combinatie kenniscentra;0;Onbekend;1
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat;24ZZ;BOL;economie;22145;Assistent-manager internationale handel;00SE;Kenniscentrum Handel;294;Winterswijk;1
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;economie;90290;Ondernemer detailhandel;00SE;Kenniscentrum Handel;153;Enschede;3
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;economie;90383;Verkoopspecialist (Verkoopspecialist detailhandel);00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;economie;93492;Manager handel (Filiaalmanager);00SE;Kenniscentrum Handel;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;economie;94100;Reizen (Manager verkoop reizen);02PY;Kenwerk;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat;27YU;BOL;techniek;22086;Mediavormgever;28DV;Combinatie kenniscentra;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;geen diploma;cul/maat;27YU;BOL;economie;94100;Reizen (Manager verkoop reizen);02PY;Kenwerk;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;geen diploma;cul/maat;27YU;BOL;economie;95380;Secretariële beroepen (Secretaresse);00SP;ECABO;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat & cul/maat;27YU;BOL;economie;93492;Manager handel (Filiaalmanager);00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;geen diploma;ec/maat & cul/maat;27YU;BOL;zorg en welzijn;95745;Allround schoonheidsspecialist;16QY;KOC Nederland;153;Enschede;1
00AQ;0;1714;SLUIS;havo;geen diploma;nat/tech;25PV;BOL;techniek;22049;Service apparatuur en installaties;02PR;Kenteq;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;geen diploma;nat/gezond;25PV;BOL;economie;95323;ICT- en mediabeheer (Netwerkbeheerder);00SP;ECABO;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;geen diploma;nat/gezond;25PV;BOL;zorg en welzijn;92662;Maatschappelijke Zorg (Persoonlijk begeleider specifieke doelgroepen);02QG;Calibris;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;geen diploma;ec/maat;25PV;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;geen diploma;ec/maat;25PV;BOL;zorg en welzijn;91182;Kapper (Kapper);16QY;KOC Nederland;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;geen diploma;ec/maat;25PV;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;geen diploma;cul/maat;25PV;BOL;zorg en welzijn;95745;Allround schoonheidsspecialist;16QY;KOC Nederland;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;25LV;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;855;Tilburg;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;25PZ;BOL;techniek;90033;Artiest (Musical);02PT;Kenniscentrum GOC;363;Amsterdam;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;25PV;BOL;techniek;93714;Analist (Chemisch-fysisch analist);02QD;Kenniscentrum PMLF;1714;Sluis;1
