SCHOOLJAAR 2011-2012 IN HET MBO (peildatum 1 oktober 2011);;;;;SCHOOLJAAR 2012-2013 IN HET HBO (peildatum 1 oktober 2012);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;18
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;6
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25LR;Regionaal Opleidingen Centrum van Flevoland;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
25LU;Regionaal Opleidingen Centrum Alfa- college;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;8
25PJ;Deltion College;economie;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25PJ;Deltion College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;17
25PW;Regionaal Opleidingen Centrum Drenthe College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
00GT;Regionaal Opleidingen Centrum Albeda College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
01AA;Landstede;economie;BBL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
