SCHOOLJAAR 2012-2013 IN HET MBO (peildatum 1 oktober 2012);;;;;SCHOOLJAAR 2013-2014 IN HET HBO (peildatum 1 oktober 2013);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;18
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;4
25LG;Regionaal Opleidingen Centrum Friesland College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
25LR;Regionaal Opleidingen Centrum van Flevoland;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;6
25LU;Regionaal Opleidingen Centrum Alfa- college;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;5
25MA;Regionaal Opleidingen Centrum Leiden Duin- en Bollenstreek;economie;BBL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25PJ;Deltion College;economie;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25PJ;Deltion College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;11
25PW;Regionaal Opleidingen Centrum Drenthe College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;4
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
30RR;Stichting Interconf. Beroepsonderwijs en Volwasseneneducatie Regio Amersfoort;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
00GT;Regionaal Opleidingen Centrum Albeda College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
