SCHOOLJAAR 2010-2011 IN HET MBO (peildatum 1 oktober 2010);;;;;SCHOOLJAAR 2011-2012 IN HET HBO (peildatum 1 oktober 2011);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
01AA;Landstede;economie ;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;39
02PN;C I B A P Christelijk MBO;techniek ;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;7
25LF;Regionaal Opleidingen Centrum Rijn IJssel College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25LG;Regionaal Opleidingen Centrum Friesland College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
25LU;Regionaal Opleidingen Centrum Alfa College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;6
25PJ;Regionaal Opleidingen Centrum Deltion College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;15
25PJ;Regionaal Opleidingen Centrum Deltion College;zorg en welzijn;examendeelnemer;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;3
27YU;Regionaal Opleidingencentrum van Twente;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
01AA;Landstede;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
02PA;Mediacollege Amsterdam Ma;techniek ;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PA;Mediacollege Amsterdam Ma;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;21
02PA;Mediacollege Amsterdam Ma;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;11
02PG;Hout en Meubileringscollege Mbo;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
02PG;Hout en Meubileringscollege Mbo;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;6
02PN;C I B A P Christelijk MBO;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;3
