"Investeringen in vaste activa naar type en regio; nationale rekeningen"
"";"Onderwerpen";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa"
"";"Onderwerpen";"Woningen";"Bedrijfsgebouwen";"Grond-weg- en waterbouwkundige werken";"Vervoermiddelen";"Machines en installaties";"In cultuur gebrachte activa";"Overdrachtskosten op grond";"Computerprogrammatuur en databanken";"Onderzoek en ontwikkeling";"Overige investeringen"
"Regio's";"Perioden";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro"
"Nederland";"1995";"17262";"10365";"7151";"6624";"11594";"392";"944";"3902";"6029";"6602"
"Nederland";"2010";"29464";"19948";"15249";"9617";"14938";"259";"1596";"15053";"10949";"11041"
"Nederland";"2011";"26877";"20384";"17565";"11274";"17487";"200";"1666";"15123";"11385";"11769"
"Nederland";"2012";"22610";"18491";"16051";"11039";"16375";"251";"1595";"15577";"11329";"11457"
"Nederland";"2013*";"19733";"18111";"15677";"10163";"15932";"326";"1347";"15413";"11422";"11658"
"Noord-Nederland (LD)";"1995";"1584";"1324";"832";"463";"1271";"50";"84";"292";"463";"604"
"Noord-Nederland (LD)";"2010";"2149";"1670";"1401";"580";"1433";"26";"116";"1088";"769";"932"
"Noord-Nederland (LD)";"2011";"2034";"1453";"1073";"512";"1530";"20";"122";"1080";"843";"907"
"Noord-Nederland (LD)";"2012";"1935";"1448";"1244";"558";"1717";"25";"118";"1119";"817";"858"
"Noord-Nederland (LD)";"2013*";"1436";"1175";"1635";"754";"2915";"33";"97";"1086";"821";"864"
"Oost-Nederland (LD)";"1995";"3722";"2095";"1363";"1016";"2088";"144";"168";"706";"1192";"1168"
"Oost-Nederland (LD)";"2010";"6378";"4133";"2795";"2353";"2860";"85";"264";"2591";"1940";"1801"
"Oost-Nederland (LD)";"2011";"6211";"5005";"3304";"2750";"2714";"65";"278";"2588";"2052";"2081"
"Oost-Nederland (LD)";"2012";"5115";"4249";"3250";"3182";"2560";"83";"266";"2699";"2052";"1842"
"Oost-Nederland (LD)";"2013*";"4563";"3404";"2804";"2191";"2243";"107";"227";"2634";"2072";"1830"
"West-Nederland (LD)";"1995";"8077";"4906";"3410";"4091";"4984";"121";"508";"2075";"2830";"3412"
"West-Nederland (LD)";"2010";"14475";"10258";"8216";"5640";"7295";"84";"935";"8487";"5347";"6089"
"West-Nederland (LD)";"2011";"12912";"10016";"9112";"6099";"8399";"65";"965";"8533";"5460";"6330"
"West-Nederland (LD)";"2012";"10661";"9156";"7328";"5669";"7248";"81";"929";"8745";"5519";"6164"
"West-Nederland (LD)";"2013*";"9139";"8866";"7869";"5400";"6837";"106";"781";"8700";"5560";"6516"
"Zuid-Nederland (LD)";"1995";"3879";"2037";"1306";"1049";"3032";"78";"183";"820";"1543";"1306"
"Zuid-Nederland (LD)";"2010";"6462";"3885";"2354";"1042";"3115";"64";"278";"2849";"2890";"1954"
"Zuid-Nederland (LD)";"2011";"5720";"3887";"2489";"1910";"4371";"50";"298";"2882";"3027";"2081"
"Zuid-Nederland (LD)";"2012";"4899";"3635";"2860";"1627";"4212";"62";"281";"2962";"2940";"2015"
"Zuid-Nederland (LD)";"2013*";"4595";"4664";"2584";"1815";"3402";"79";"240";"2945";"2967";"1977"
"Extra-Regio (LD)";"1995";" ";"3";"241";"5";"219";" ";"1";"9";"1";"111"
"Extra-Regio (LD)";"2010";" ";"2";"483";"3";"235";" ";"3";"37";"3";"264"
"Extra-Regio (LD)";"2011";" ";"23";"1587";"3";"473";" ";"2";"40";"4";"370"
"Extra-Regio (LD)";"2012";" ";"3";"1368";"3";"638";" ";"2";"51";"2";"578"
"Extra-Regio (LD)";"2013*";" ";"2";"785";"4";"535";" ";"1";"49";"2";"471"
"Groningen (PV)";"1995";"532";"407";"262";"176";"483";"11";"24";"99";"172";"246"
"Groningen (PV)";"2010";"693";"668";"361";"197";"763";"6";"39";"410";"284";"332"
"Groningen (PV)";"2011";"705";"619";"457";"141";"523";"4";"42";"402";"304";"311"
"Groningen (PV)";"2012";"656";"437";"435";"229";"619";"6";"39";"416";"302";"310"
"Groningen (PV)";"2013*";"408";"468";"997";"371";"2163";"7";"32";"387";"303";"319"
